"country","capacity_mw","latitude","longitude","commissioning_year","generation_gwh_2013","generation_gwh_2014","generation_gwh_2015","generation_gwh_2016","generation_gwh_2017","generation_gwh_2018","generation_gwh_2019","estimated_generation_gwh_2013","estimated_generation_gwh_2014","estimated_generation_gwh_2015","estimated_generation_gwh_2016","estimated_generation_gwh_2017","primary_fuelBiomass","primary_fuelCoal","primary_fuelCogeneration","primary_fuelGas","primary_fuelGeothermal","primary_fuelHydro","primary_fuelNuclear","primary_fuelOil","primary_fuelOther","primary_fuelPetcoke","primary_fuelSolar","primary_fuelStorage","primary_fuelWaste","primary_fuelWave.and.Tidal","primary_fuelWind"
2,22.8,-12.4706,13.7319,2012,2.524,34.57,0.023,0,52.567,33.622,78.974,8.36,94.62,85.71,6.92,64.92,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,14.6,-12.4706,13.7319,1997,1124.88202,243.697,172.515,0,226.891,19.515,307.621,60.76,50.79,49.87,80.7,48.53,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,180,-9.7523,14.4809,1958,958.505001,584.017,241.738,314.587,236.258,138.046,404.37,573.81,732.53,709.84,604.31,678.19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,520,-9.7955,15.4672,1988,44.637,271.565,632.0111111,1211.642,1021.051,1128.864,618.669,1450.81,1919.52,1853.98,1538.35,1746.62,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,132,-8.8383,13.2344,2018,40.203,0,0.005,-0.076,46.843,-0.114,141.037,36.17,113.07,81.62,183.43,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,16.26,-12.76,15.75,2016,123.632003,774.724,438.733217,308.967,0,173.248,25.579,1.83,69.68,5.84,3.52,46.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,20,-12.37,13.57,1990,0,0,121.924,7.22,0,0.619,6.46,13.26,37.93,72.53,32.67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,58,-8.8383,13.2344,1980,0,16.78838,0.219,27,59.103,2.088611111,54.97,17.16,173.98,161.33,57.96,165.16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,18.5,-8.8383,13.2344,1980,18.0226,-0.216,0.026,23.83025,110.915,44.262,62.059,32.5,74.55,84.06,80.27,52.68,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,10,-5.55,12.2,1998,9.19926,179.6044444,64.988,32.305,102.13,21.912,9.512,42.93,56.83,68.22,81.59,28.47,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,40,-14.7333,15.0333,2008,2.817,189.810005,140.995,338,308.425,327.747009,467.397,165.92,138.23,128.15,152.57,125.42,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,11.68,-15.1961,12.1522,1980,1097.993002,70.386,365.07,13.931,290.156999,83.002,198.228,17.54,36.64,21.73,17.86,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,16,-7.3,20.85,1974,0,1.571,22.268,7.94,18.807,0.097,116.169,79.25,66.06,67.94,82.2,66.01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
