country,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017
ARG,130,-34.5792,-68.9892,Hydro,1982,23.007,33.385,0,42.516,0,0.112,468.885,288.58,330.11,413.29,415.17,289.92
ARG,1050,-40.58,-70.7489,Hydro,1987,680.057996,883.103,1165.318,1367.92423,2969.29,493.151,1185.079993,2896.84,3621.29,3575.78,3416.89,2896.84
ARG,25,-34.8386,-58.4033,Oil,2012,1374.962973,2042.34,4234.637032,3224.474,2259.865,2754.11025,3251.099993,7.17,114.44,223.39,23.93,113.26
ARG,97.5,-38.9524,-68.0218,Gas,1969,446.60481,574.438,401.536,310.096,245.5591667,277.537,157.221,443.88,430.12,709.59,343.24,546.09
ARG,1.904,-39.2145,-70.9157,Oil,1995,0.018,203.58457,40.597,86.32,47.921,1.609,162.841,2.76,25.88,157.87,11.14,8.62
ARG,50.7,-33.0452,-69.0516,Hydro,2003,25.528,36.848,0.187,31.261,0.211,16.925,243.59,141.57,150.75,188.01,190.95,163.07
ARG,128,-39.1009,-68.5982,Hydro,1977,3066.624978,3594.781031,3518.645,3499.411,2715.175,2758.601977,2366.866029,413.34,406.43,496.11,479.69,413.34
ARG,370,-33.967,-59.2059,Nuclear,1974,0,2738.999003,3502.11,2897.406,2205.11,2549.71,4010.581003,919.38,1235.68,1575.89,1349.99,1303.91
ARG,745,-33.9674,-59.2045,Nuclear,2014,0,191.771,497.693,324.443,-147.606,-2.002,2185.549,3433.33,3086.76,2685.8,2906.75,2625.45
ARG,31,-23.8219,-64.7847,Oil,1994,9.698,502.4580556,411.089998,696.80845,900.116,628.13,512.3,72.75,147.55,256.45,84.55,140.45
ARG,5.736,-41.1167,-71.4167,Oil,2000,250.722,167.7727778,249.711,414.4573,442.501,445.383,311.7,1.54,7.61,157.03,18.1,25.98
ARG,38.4,-32.1883,-64.3233,Hydro,1966,24.933,46.422,65.878,53.543,1.73068,2.001,198.886,90.12,102.5,118.19,123.62,104.67
ARG,2.096,-26.2545,-53.6469,Oil,1973,68.893,223.914,114.519,96.898,53.316,4.934,2.758,13.65,1.87,103.53,3.63,9.49
ARG,31.9,-34.2605,-62.7107,Oil,2017,2.79,132.721,0,120.327,32.579,12.377,158.608,74.19,90.04,258.01,9.4,144.52
ARG,27.6,-35.0241,-58.4237,Oil,1970,577.6252778,2295.855,1758.58,1655.060966,-5.627,621.206,205.402,35.74,108.88,257.75,2.03,125.04
ARG,1.415,-27.7534,-57.6205,Oil,2007,0,158.538,17.354,107.993,52.472,11.806,46.59,79.25,20.4,79.48,5.16,6.41
ARG,102,-25.2712,-65.3298,Hydro,1978,5.789,202.987,0,208.9768,159.562,152.963,290.089,380.17,337.42,416.66,431.73,409.06
ARG,120,-33.0291,-69.1109,Hydro,2002,36.805,10.412,0.153,69.985,27.82638889,23.077,348.39,297.51,314.76,416.3,408.8,341.24
ARG,1.07,-25.1089,-66.2106,Oil,2007,10.265,371.275,0,45,29.481,0.271,7.672,5.36,10.88,137.33,8.74,4.84
ARG,4.182,-26.0715,-65.9876,Oil,2007,0,109.387,0,180.18,21.492,0.325,1.977,9.08,21.52,133.53,3.8,18.94
ARG,5.728,-28.4537,-65.7841,Oil,2011,11.529,63.734,5.297,82.69371,0.403,1.249,182.637,15.24,30.25,219.03,10.24,25.95
ARG,7.075,-28.4773,-65.7872,Oil,2010,31.324,48.069,1.521,64.864,18.638,16.094,0.154,4.21,9.25,130.32,6.46,32.05
ARG,4.675,-28.4684,-65.7797,Oil,2006,18.193,93.802,79.157,332.386,268.987,3.661,218.361,2.49,12.3,124.15,3.06,21.18
ARG,60,-38.2143,-67.1908,Hydro,1996,568.027004,1262.6,765.1002778,364.396,9.244,159.938,234.168,195.69,200.87,228.48,222,206.48
ARG,17.28,-31.3992,-64.2006,Hydro,1953,323.635,234.927,76.495,114.181,40.876,0.051,113.355,45.68,41.26,51.23,48.3,43.63
ARG,620,-38.7872,-62.2536,Coal,1990,1191.114,1162.92,430.809,464.374,861.616,0,1101.259,3405.62,2246.4,2938.82,2044.7,3213.44
ARG,540,-38.5127,-68.6048,Gas,2000,1794.554,1468.888333,609.58,701.195,0,361.029,352.989,1762.32,2199.26,2602.24,1933.58,3024.54
ARG,11.228,-38.062,-67.9463,Oil,2005,-1.343,108.104,32.21,69.48,44.033,8.44,-59.229,13.91,92.65,190.63,4.3,50.87
ARG,673.6,-34.9027,-58.7334,Gas,1998,2687.64598,2156.08,0,593.241002,1688.797,1192.592,2981.217,2977.46,2653.48,3762.09,2461.76,3772.84
ARG,164.55,-34.9027,-58.7334,Gas,2003,41.431,844.719,1307,2031.83975,3521.113049,3090.593039,3885.565964,790.24,825.13,1076.85,868.01,921.64
ARG,280,-31.7112,-60.7811,Gas,2013,465.545,180.892,505.791,765.50325,768.069,843.327995,89.159,1769,1496.13,1503.72,1342.39,1568.28
ARG,643,-24.7456,-65.0513,Gas,1999,79,376.966999,1367.800034,1344.215,2311.885018,2074.497,2751.173004,2708.72,3286.43,3215.66,2412.23,3601.45
ARG,361,-24.6894,-65.0425,Coal,1993,303.057,451,827.53,1047.995003,837.74,1208.391,1864.732,1629.31,1550.47,1498.37,1547.98,1871.05
ARG,32,-27.7528,-64.2655,Gas,2005,27.71,-0.04,65.878,52.785,2.072,-0.48,43.339,201.81,124.6,293.03,188.02,179.23
ARG,30.44,-22.3497,-63.7664,Oil,2010,0,76.894,1.345,158.762,161.449,96.214,226.763,3.84,110.1,148.36,3.41,137.91
ARG,25,-34.7208,-58.3881,Oil,2014,47.207,70.42,0,0,11.396,0.233,102.726,17.55,87.62,211.51,16.87,113.26
ARG,524,-34.6268,-58.5438,Gas,2012,3509.115021,3413.179022,3495.568,3993.958,5825.7900310000005,5289.831986,3878.238965,2111.84,2762.51,3270.72,1831.66,2934.93
ARG,868.2,-24.6894,-65.0425,Gas,2009,2333,1928.719984,3478.767014,0,1803.314,2838.64399,3928.947,3605.49,3827.71,4863.57,3191.29,4862.8
ARG,865.14,-32.5778,-60.791,Gas,2009,1289.106044,2745.038039,2058.658,2992.397045,3835.521033,0,2707.149,3988.43,3605.44,4863.57,4186.46,4845.66
ARG,121.4,-31.5192,-68.9814,Hydro,2009,31.026,24.258,3.343,86.885,52.234,50.485,437.359,341.9,340.96,423.27,489.01,339.93
ARG,5,-29.1578,-67.5069,Oil,1992,656.445,1301.635041,1014.127,1655.060966,1300.073,521,662.304,2.33,7.64,117,7.62,22.65
ARG,2,-31.9881,-68.5402,Solar,2000,3.444,36.854,0.169,30.74456,0.004,65.813,28.029,4.26,4.24,3.86,3.82,4.26
ARG,5.78,-38.9121,-67.9427,Hydro,1954,1.851,20.354,39.423,9.137,0,4.512,6.641,11.1,11.37,15.66,13.32,11.1
ARG,2.372,-25.6669,-54.0419,Oil,1960,20.364,165.986,0,-104.467,9.16,2.399,3.16,31.71,10.64,144.56,13.39,10.74
ARG,141.02,-25.9913,-54.6278,Gas,1990,72.14,195.109,1.932,82.406,11.984,25.321,2.028,629.71,964.85,696.07,392.48,789.85
ARG,16.56,-45.8467,-67.4964,Wind,2003,196.487002,185.147,0,10.113,0,0.231,30.547,70.16,45.42,145.69,1.68,104.06
