country,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017
AGO,180,-9.7523,14.4809,Hydro,NA,NA,NA,NA,NA,NA,NA,NA,573.81,732.53,709.84,604.31,678.19
AGO,520,-9.7955,15.4672,Hydro,NA,NA,NA,NA,NA,NA,NA,NA,1450.81,1919.52,1853.98,1538.35,1746.62
AGO,132,-8.8383,13.2344,Gas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
AGO,16.26,-12.76,15.75,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.3
AGO,20,-12.37,13.57,Gas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
AGO,58,-8.8383,13.2344,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165.16
AGO,18.5,-8.8383,13.2344,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.68
AGO,10,-5.55,12.2,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.47
AGO,40,-14.7333,15.0333,Hydro,NA,NA,NA,NA,NA,NA,NA,NA,165.92,138.23,128.15,152.57,125.42
AGO,11.68,-15.1961,12.1522,Gas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
AGO,16,-7.3,20.85,Hydro,NA,NA,NA,NA,NA,NA,NA,NA,79.25,66.06,67.94,82.2,66.01
AGO,11.34,-15.3333,15,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.29
ATA,6.6,-77.847,166.6605,Oil,1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATA,1,-77.8428,166.7271,Wind,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARG,479.2,-38.9368,-68.3556,Other,1997.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
ARG,192,-38.9368,-68.3556,Gas,1993.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1075.39
ARG,130,-34.5792,-68.9892,Hydro,1982,NA,NA,NA,NA,NA,NA,NA,288.58,330.11,413.29,415.17,289.92
ARG,1050,-40.58,-70.7489,Hydro,1987,NA,NA,NA,NA,NA,NA,NA,2896.84,3621.29,3575.78,3416.89,2896.84
ARG,25,-34.8386,-58.4033,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.26
ARG,97.5,-38.9524,-68.0218,Gas,1969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,546.09
ARG,1.904,-39.2145,-70.9157,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.62
ARG,50.7,-33.0452,-69.0516,Hydro,2003,NA,NA,NA,NA,NA,NA,NA,141.57,150.75,188.01,190.95,163.07
ARG,128,-39.1009,-68.5982,Hydro,1977,NA,NA,NA,NA,NA,NA,NA,413.34,406.43,496.11,479.69,413.34
ARG,370,-33.967,-59.2059,Nuclear,1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1303.91
